id,name,lat,lon
E01011624,Leeds 072D,53.7806351176026,-1.48623403178866
E01011625,Leeds 075C,53.7892175918084,-1.51226633706459
E01011626,Leeds 075D,53.7903775082299,-1.52190843633781
E01011627,Leeds 098A,53.753460413265,-1.4689939879113
E01011628,Leeds 098B,53.7553074364977,-1.47660737823593
E01011629,Leeds 098C,53.7520491003721,-1.47887410649234
E01011630,Leeds 100B,53.7523644007058,-1.49718795848282
E01011632,Leeds 098D,53.7531943664192,-1.48788205797304
E01011633,Leeds 098E,53.7446513476788,-1.48088262209104
E01011634,Leeds 100C,53.7396754803764,-1.49660328312985
E01011635,Leeds 097B,53.7449193620053,-1.45248677607268
E01011636,Leeds 100D,53.7383210022117,-1.47265448944676
E01011637,Leeds 097C,53.7572329024619,-1.44029431983608
E01011638,Leeds 097D,53.7578576651584,-1.44860094491809
E01011639,Leeds 100E,53.7615752965174,-1.47772828192185
E01011641,Leeds 032B,53.8299916564162,-1.50957609022741
E01011642,Leeds 032C,53.82504173827,-1.51571490826274
E01011643,Leeds 037A,53.8271453383315,-1.4978100213807
E01011644,Leeds 037B,53.8305011553043,-1.48092935750607
E01011645,Leeds 032D,53.8253326980498,-1.50636873622249
E01011646,Leeds 037C,53.8234102761779,-1.49279327103888
E01011647,Leeds 037D,53.8208932835807,-1.51062695833138
E01011648,Leeds 037E,53.8209033410166,-1.50049551596135
E01011649,Leeds 022B,53.8509732883587,-1.47754248609259
E01011650,Leeds 020A,53.8433127548791,-1.49272553670105
E01011651,Leeds 020B,53.8491228559804,-1.50937999233477
E01011652,Leeds 024C,53.8448541218269,-1.5143616622954
E01011653,Leeds 020C,53.8433611871386,-1.50956103749951
E01011654,Leeds 024D,53.8375538981079,-1.51485434576386
E01011655,Leeds 020D,53.8374041675563,-1.50780162212079
E01011656,Leeds 035A,53.8299018170056,-1.47435690888362
E01011657,Leeds 035B,53.8308515100732,-1.4663315691628
E01011658,Leeds 040C,53.826141131203,-1.48120281834105
E01011659,Leeds 035C,53.8234230000787,-1.46736342486561
E01011660,Leeds 040D,53.8210936645218,-1.47186484825307
E01011661,Leeds 035D,53.8228752486993,-1.46032982133625
E01011662,Leeds 040E,53.8171163527326,-1.47762535575438
E01011663,Leeds 050A,53.8146271862446,-1.46575106932162
E01011664,Leeds 050B,53.8173015470337,-1.46708432252128
E01011665,Leeds 050C,53.8139999006542,-1.45853436819408
E01011666,Leeds 061D,53.811327111705,-1.45722930858143
E01011667,Leeds 050D,53.8112468852249,-1.47282287432409
E01011668,Leeds 110E,53.8167946060451,-1.55752076599089
E01011669,Leeds 110F,53.8175226217858,-1.5505565986512
E01011670,Leeds 055A,53.8141265950327,-1.54878703659904
E01011671,Leeds 055B,53.8102611118925,-1.54208874349945
E01011673,Leeds 064B,53.8098238336578,-1.52608040774313
E01011677,Leeds 064D,53.8064195128873,-1.51693381281856
E01011678,Leeds 063B,53.8013350232522,-1.56190986635532
E01011681,Leeds 063D,53.8057296236559,-1.56681781187207
E01011684,Leeds 019C,53.8425166256249,-1.59955421966752
E01011685,Leeds 109A,53.8311337868615,-1.5970040129967
E01011686,Leeds 033E,53.8387307175046,-1.61428149117567
E01011687,Leeds 109B,53.8371420188719,-1.59857297444458
E01011688,Leeds 031B,53.8311092012715,-1.55835629804248
E01011689,Leeds 031C,53.8318745118265,-1.57041556530678
E01011690,Leeds 109C,53.8292389177867,-1.58250841441162
E01011691,Leeds 031D,53.8282196132899,-1.56381939006993
E01011692,Leeds 109D,53.8281263401131,-1.57468139710922
E01011693,Leeds 109E,53.8262306229798,-1.56902917496415
E01011694,Leeds 109F,53.8252518587491,-1.58276808715996
E01011695,Leeds 019D,53.8462964357758,-1.60702501880463
E01011696,Leeds 006B,53.8993545289186,-1.4037327759387
E01011697,Leeds 002A,53.9205027592319,-1.33032467291541
E01011698,Leeds 001A,53.9376538919605,-1.38933061856066
E01011699,Leeds 001B,53.9400093060694,-1.39727627818215
E01011700,Leeds 002B,53.9365193798609,-1.37315569198982
E01011701,Leeds 001C,53.9341302140985,-1.39161509884117
E01011702,Leeds 001D,53.9260231389942,-1.40129761133977
E01011703,Leeds 001E,53.9316625306897,-1.40533946437143
E01011704,Leeds 002C,53.9260270352777,-1.36847740698177
E01011705,Leeds 002D,53.9290009976523,-1.3778872235559
E01011706,Leeds 006C,53.9142255498122,-1.41445518516402
E01011707,Leeds 005A,53.9043191212236,-1.36873778746166
E01011708,Leeds 006D,53.9002998349198,-1.46493812419209
E01011709,Leeds 005B,53.9012017198093,-1.35090111632355
E01011710,Leeds 005C,53.8896680168911,-1.35261417462075
E01011711,Leeds 005D,53.9010376081434,-1.33713877518919
E01011712,Leeds 005E,53.8792501100315,-1.36448405812249
E01011713,Leeds 006E,53.8797721472993,-1.4427189589259
E01011714,Leeds 029A,53.8366764142256,-1.45282459060069
E01011715,Leeds 022C,53.8364072815613,-1.42485955154905
E01011716,Leeds 029B,53.8390279258593,-1.46986541688659
E01011717,Leeds 029C,53.8347586035105,-1.46230088005377
E01011718,Leeds 029D,53.8320351501827,-1.45473044094363
E01011719,Leeds 022D,53.8237343256907,-1.41608431069113
E01011720,Leeds 029E,53.826952881029,-1.45517012349065
E01011721,Leeds 041A,53.8256262315686,-1.44425394657361
E01011722,Leeds 041B,53.8209597886353,-1.43439757387773
E01011723,Leeds 041C,53.8206238694701,-1.44418789109269
E01011724,Leeds 041D,53.8189255932216,-1.45132947273044
E01011725,Leeds 078A,53.7953896684013,-1.61380381119566
E01011726,Leeds 080A,53.7883101132767,-1.6245857128421
E01011727,Leeds 080B,53.795045413576,-1.63445624842877
E01011728,Leeds 080C,53.7797495763161,-1.63345696246875
E01011729,Leeds 078B,53.793675834074,-1.60179591140833
E01011730,Leeds 078C,53.7899163315032,-1.61263711135995
E01011731,Leeds 081B,53.7878542615433,-1.59940924618952
E01011732,Leeds 081C,53.7895805857407,-1.59163943113987
E01011733,Leeds 081D,53.7865363031966,-1.58752705393282
E01011734,Leeds 083A,53.7752395004626,-1.60202257314477
E01011735,Leeds 078D,53.7860527073537,-1.61393323338203
E01011736,Leeds 083B,53.7841991785836,-1.59519429694033
E01011737,Leeds 083C,53.7829348065278,-1.60510260087394
E01011738,Leeds 083D,53.7790307323126,-1.6215881882216
E01011739,Leeds 080D,53.7983841863497,-1.62063549434689
E01032487,Leeds 097F,53.7527510072208,-1.45299887739729
E01032488,Leeds 097G,53.7555284127496,-1.46168151507465
E01032489,Leeds 102F,53.7482620060145,-1.5928665891076
E01032490,Leeds 102G,53.7436714837398,-1.5857506345163
E01032491,Leeds 102H,53.7394053463843,-1.58728930702858
E01032492,Leeds 102I,53.7452586351713,-1.5951209914282
E01032493,Leeds 033F,53.8257863781115,-1.61551474237015
E01032494,Leeds 033G,53.8287445262676,-1.62071301546086
E01032496,Leeds 105F,53.7386356349297,-1.50682541849776
E01032497,Leeds 099E,53.7579744611158,-1.54070516458595
E01032498,Leeds 099F,53.7522513859847,-1.5504897722129
