LSOA21CD,LSOA21NM,Business (public transport),Education (public transport),Healthcare (public transport),Leisure and Community (public transport),Shopping (public transport),Residential (public transport),Overall (public transport)
E01011323,Leeds 051A,71.34,72.22,72.27,73.66,86.55,72.1,76.17
E01011324,Leeds 046A,71.96,68.23,66.71,69.91,82.72,72.65,73.96
E01011325,Leeds 046B,70.49,67.39,62.9,69.34,77.7,71.57,71.77
E01011326,Leeds 046C,71.8,69.04,66.45,70.46,81.58,72.65,73.83
E01011327,Leeds 052A,68.16,74.39,60.63,66.09,74.99,69.8,70.81
E01011328,Leeds 052B,69.12,79.49,63.6,69.74,81.14,70.08,74.23
E01011329,Leeds 051B,70.32,73.24,67.49,72.18,82.44,71.39,74.51
E01011330,Leeds 051C,69.58,70.77,63.88,69.33,77.82,70.86,72.07
E01011331,Leeds 058A,72.7,75.55,75.49,77.32,90.3,73.46,78.9
E01011332,Leeds 046D,71.36,69.45,68.33,70.27,84.4,72.22,74.49
E01011333,Leeds 051D,70.04,77.48,66.1,71.38,83.64,70.98,75.23
E01011334,Leeds 058B,74.04,76.3,72.28,76.65,88.16,74.68,78.77
E01011335,Leeds 052C,71.09,79.69,66.92,73.41,87.28,71.63,77.25
E01011336,Leeds 058C,73.02,74.99,77.99,76.88,90.32,73.61,78.95
E01011337,Leeds 058D,72.96,76.03,67.42,73.28,85.59,73.31,76.92
E01011338,Leeds 064A,77.06,91.24,88.26,88.1,90.12,77.58,85.35
E01011339,Leeds 060A,70.44,77.23,73.24,70.97,81.35,70.01,74.86
E01011340,Leeds 060B,73.21,80.57,82.62,79.26,90.45,73.04,80.48
E01011341,Leeds 061A,72.75,77.62,78.72,75.13,83.29,72.47,77.19
E01011342,Leeds 060C,71.82,78.61,73.9,74.06,81.79,71.41,76.25
E01011343,Leeds 061B,71.75,76.99,80.12,74.21,82.55,71.63,76.43
E01011344,Leeds 065A,73.58,84.74,89.06,82.36,95.23,73.47,83.28
E01011345,Leeds 061C,72.87,78.2,80.91,79.77,90.41,72.71,79.96
E01011346,Leeds 060D,73.26,79.56,78.72,76.45,82.59,73.12,77.75
E01011347,Leeds 065B,73.7,84.1,86.45,81.89,93.62,73.53,82.63
E01011348,Leeds 065C,74.58,85.27,83.21,81.69,90.8,74.57,82.31
E01011349,Leeds 065D,75.76,89.61,86.62,83.91,88.55,75.86,83.41
E01011350,Leeds 034A,72.17,83.6,80.91,76.58,88.85,72.49,79.74
E01011351,Leeds 034B,71.44,81.46,79.69,74.83,88.54,71.85,78.71
E01011352,Leeds 034C,72.66,85.05,84.9,79.46,92.99,73.12,81.84
E01011353,Leeds 034D,71.3,78.85,81.01,72.64,83.16,71.53,76.54
E01011354,Leeds 038A,70.32,80.02,70.95,69.9,81.29,70.86,75.09
E01011355,Leeds 038B,72.12,81.49,78.24,74.12,83.81,72.46,77.6
E01011356,Leeds 042A,73.37,83.16,87.17,79.61,89.64,73.55,81.04
