LSOA21CD,LSOA21NM,city,origin_bng_e,origin_bng_n,population_mid_2022,population_per_km2,imd_score,imd_decile,census2021_no_car_household_pct,distance_to_city_centre_km,active_bus_stops,bus_stops_per_km2,scheduled_stop_calls_core_06_22,calls_per_active_stop_per_hour_core_06_22,unique_lines_core_06_22,nearest_any_core_bus_network_m,nearest_hf_bus_network_m,within_400m_any_core_bus,within_400m_hf_bus,reachable_graph_snap_offset_any_m,reachable_graph_snap_offset_hf_m,walk_distance_repair_flag
E01011356,Leeds 042A,Leeds,430914.7235544984,436419.23801217985,2014,4635.433511764366,15.382,6,29.594017094017097,2.721879379771895,7,16.111238620829475,815,7.276785714285714,8,174.37335100486547,174.37335100486547,True,1,,,False
E01011357,Leeds 038C,Leeds,430330.8271300717,435682.074961413,2068,3752.366197267708,49.373,1,52.69526952695269,1.829236456270716,8,14.515923393685524,690,5.390625,8,157.8356552586143,682.1436552586143,True,0,,,False
E01011358,Leeds 042B,Leeds,430325.7372372628,436302.34985559445,1581,5348.738392432407,35.946,2,41.11888111888112,2.4307569288528907,2,6.766272476195328,146,4.5625,3,271.0423682564414,610.7313682564414,True,0,,,False
E01011359,Leeds 042C,Leeds,431633.87833448045,436149.3028358987,1974,4925.213148715659,30.443,3,40.86538461538461,2.865298560435526,5,12.47521060971545,120,1.5,1,82.6196181704742,490.6886181704743,True,0,,,False
E01011360,Leeds 042D,Leeds,430746.0899938309,435560.3313054548,2187,9359.286872802571,51.93,1,46.1436170212766,1.8762490126698133,4,17.11803726164165,644,10.0625,8,188.2890417071031,188.2890417071031,True,1,,,False
E01011361,Leeds 042E,Leeds,431266.0969652365,435396.52870323136,2939,7284.008227427121,50.932,1,48.59894921190893,2.0574286451502375,14,34.697555353514694,1147,5.120535714285714,11,396.872385537604,396.872385537604,True,1,,,False
E01011362,Leeds 081A,Leeds,427945.11913314,432375.6805086109,1902,2019.8433752835176,48.692,1,51.21241513094083,2.4388904363944035,18,19.115236990064837,1039,3.607638888888889,10,350.8444252469593,742.3694252469593,True,0,,,False
E01011363,Leeds 071E,Leeds,428426.9644371176,433298.5240416183,1939,1794.7980328494375,57.778,1,48.43568945538818,1.5361878320050737,18,16.661353579829747,2160,7.5,25,28.87312049747481,28.87312049747481,True,1,,,False
E01011364,Leeds 085A,Leeds,430066.05931653344,432032.3856398685,2182,3017.5327166569327,42.315,2,49.25883694412771,1.9047453935053376,7,9.680444095599691,946,8.446428571428571,11,205.17619223450964,205.17619223450964,True,1,,,False
E01011366,Leeds 082A,Leeds,428574.9528167717,431869.2539825997,1780,2491.7058918539137,58.58,1,53.9440203562341,2.4068384399933302,5,6.99917385352223,451,5.6375,11,918.3696903570298,1086.3176903570295,False,0,,,False
E01011368,Leeds 082C,Leeds,429242.9300922493,431779.8753243649,1624,11526.63281443449,60.472,1,60.97222222222223,2.221815977594754,2,14.19536060890947,123,3.84375,5,121.30615803699791,121.30615803699791,True,1,,,False
E01011369,Leeds 090E,Leeds,428059.9179509053,431243.0300676322,1618,1518.7537492876545,21.558,4,36.84210526315789,3.2117637406048303,20,18.773223106151477,1040,3.25,8,93.03975688463431,93.03975688463431,True,1,,,False
E01011370,Leeds 082D,Leeds,428816.8800934454,431221.53289882984,1697,6883.198422658999,47.034,1,43.503649635036496,2.885003998416189,6,24.336588412465527,511,5.322916666666667,5,260.846799494857,260.846799494857,True,1,,,False
E01011371,Leeds 085B,Leeds,430034.5524907581,431513.93068589113,1758,6154.267716349011,60.175,1,59.01856763925729,2.41721465977333,6,21.00432667695908,904,9.416666666666666,10,339.8992988860417,339.8992988860417,True,1,,,False
E01011372,Leeds 086C,Leeds,429897.3921639563,431292.7174077523,1724,15114.392368775136,63.284,1,53.516295025728986,2.630662530749834,0,0.0,0,0.0,0,239.90348942476564,239.90348942476564,True,1,,,False
E01011373,Leeds 085C,Leeds,429549.2866807972,431401.9548507639,1522,8920.66368768751,57.846,1,47.45762711864407,2.5362407973695227,4,23.444582622043395,218,3.40625,5,282.68010301379354,348.9451030137935,True,1,,,False
E01011374,Leeds 085D,Leeds,430347.2499914746,431375.1694162051,1273,9672.925374279885,49.402,1,53.768844221105525,2.59920929858047,0,0.0,0,0.0,0,286.1465482915573,286.1465482915573,True,1,,,False
E01011375,Leeds 086D,Leeds,429507.6769105444,431011.32121036545,2130,24423.53724956826,65.793,1,53.97973950795948,2.9290799257511457,0,0.0,0,0.0,0,348.83986161876237,348.83986161876237,True,1,,,False
E01011376,Leeds 013A,Leeds,424800.1849358192,441060.4958007878,1747,953.5954295956776,2.849,10,8.823529411764707,8.73250311445652,4,2.183389649904242,246,3.84375,3,694.9014957112402,1957.09049571124,False,0,,,False
E01011377,Leeds 013B,Leeds,425182.0159265679,440375.0543059066,1406,2900.4064561868004,2.499,10,15.2317880794702,7.952691992898023,7,14.44014594118606,346,3.0892857142857144,3,345.00019008618915,1119.5041900861888,True,0,,,False
E01011378,Leeds 013C,Leeds,425786.2275138679,440500.568871133,1418,3423.391575847428,48.382,1,42.63233190271817,7.721937829870321,5,12.07119737604876,135,1.6875,3,194.36026350877,548.17826350877,True,0,,,False
E01011379,Leeds 017A,Leeds,425832.4305279837,439851.69615412614,1618,3589.2356580207356,34.429,2,35.0,7.151303820474552,11,24.401478515592142,653,3.710227272727273,5,220.18073748628692,444.83473748628694,True,0,,,False
E01011380,Leeds 016A,Leeds,427670.611969972,439676.6911766104,1587,1962.2607705623675,4.574,10,9.185185185185183,6.146244000043044,6,7.418755276228232,279,2.90625,3,374.7459601237629,2034.7029601237628,True,0,,,False
E01011381,Leeds 016B,Leeds,426760.3227981023,440930.4831919104,1580,598.4861678534213,5.365,10,9.557522123893806,7.65105115214593,7,2.651520996818955,225,2.0089285714285716,2,668.9658756282053,2183.322875628205,False,0,,,False
E01011382,Leeds 013D,Leeds,424706.3343927776,439820.5011966404,1664,5548.958659993415,3.496,10,11.440107671601616,7.813140985675075,3,10.004132199507358,180,3.75,3,90.82884161829972,1278.3948416182998,True,0,,,False
E01011383,Leeds 019A,Leeds,426350.84698785446,439468.71527010534,1697,2284.3861286991055,14.571,6,19.363395225464192,6.547482257270078,13,17.49971695526716,498,2.394230769230769,4,730.6477955862898,973.33979558629,False,0,,,False
E01011384,Leeds 017B,Leeds,425101.96263376286,439681.09867926646,1557,4761.270977911743,13.957,7,19.097744360902254,7.451312204743968,1,3.057977506687054,58,3.625,2,719.8721438447216,1373.0711438447215,False,0,,,False
E01011385,Leeds 016C,Leeds,428169.7309012436,439252.40986946056,1351,1148.1615557363566,5.281,10,9.981167608286253,5.582687707969395,8,6.7988841198303875,150,1.171875,2,484.4621723929224,2420.551172392922,False,0,,,False
E01011386,Leeds 016D,Leeds,427074.3102891126,439528.30995441065,1907,2841.2085372310785,3.72,10,10.54739652870494,6.246793023705528,7,10.429187079505793,393,3.5089285714285716,2,487.46394605776686,1535.036946057767,False,0,,,False
E01011388,Leeds 019B,Leeds,425495.8595205175,438882.43582740426,1628,2750.914834122313,14.965,6,21.88782489740082,6.587222125616828,5,8.448755633053787,153,1.9125,3,565.5148862711118,1329.964886271112,False,0,,,False
E01011390,Leeds 087A,Leeds,438630.32053649554,430523.3047542888,1354,1574.537316988492,24.165,4,20.09966777408638,9.43334611786367,11,12.791662102565295,388,2.2045454545454546,7,185.5517050552855,2198.4847050552858,True,0,,,False
E01011391,Leeds 087B,Leeds,438098.936434077,430459.8549090685,1575,2114.3977826046475,23.279,4,19.749652294853963,8.964029348924702,12,16.109697391273507,252,1.3125,6,233.16348786165472,2168.7194878616547,True,0,,,False
E01011392,Leeds 087C,Leeds,439735.73255844926,429441.07088510355,2006,478.0597085161538,15.258,6,15.724815724815723,10.871665577823066,20,4.766298190589769,713,2.228125,5,538.9128531545349,1747.6568531545352,False,0,,,False
E01011393,Leeds 103C,Leeds,439108.2543285733,427152.959614675,2308,1291.9631613585595,9.472,8,11.049723756906078,11.484776423524414,21,11.75529739537684,550,1.636904761904762,3,608.9961203924819,2670.3921203924815,False,0,,,False
E01011394,Leeds 103D,Leeds,440880.26385855465,427113.7166987945,1160,447.0484521682363,15.284,6,13.414634146341465,12.978935979699042,22,8.478505127328619,320,0.9090909090909092,3,108.42125627927832,3842.0832562792775,True,0,,,False
