LSOA21CD,LSOA21NM,nearest_any_core_bus_network_m,calls_per_active_stop_per_hour_core_06_22,unique_lines_core_06_22,walking_access_percentile,service_frequency_percentile,route_availability_percentile,ptal_inspired_score
E01011467,Leeds 112A,219.694609685589,9.90909090909091,16,58.7268993839836,96.7145790554415,97.6386036960986,84.3600273785079
E01011468,Leeds 112B,372.530456806079,5.50446428571429,17,32.0328542094456,85.8316221765914,98.2546201232033,72.0396988364134
E01011469,Leeds 094B,575.403155924668,2.38194444444444,8,13.347022587269,45.3798767967146,80.9034907597536,46.5434633812457
E01011470,Leeds 112C,590.128574876472,3.34615384615385,7,12.7310061601643,61.8069815195072,75.0513347022587,49.8631074606434
E01011471,Leeds 092A,56.889422365072,4.2,9,95.0718685831622,76.1806981519507,85.8316221765914,85.6947296372348
E01011472,Leeds 092B,297.844905717214,2.88392857142857,7,43.1211498973306,54.6201232032854,75.0513347022587,57.5975359342916
E01011473,Leeds 092C,276.091594313729,3.14583333333333,5,46.8172484599589,58.1108829568789,56.6735112936345,53.8672142368241
E01011474,Leeds 092D,111.746658839856,3.1375,5,85.4209445585216,57.905544147844,56.6735112936345,66.6666666666667
E01011475,Leeds 094C,184.862853794973,4.375,6,66.735112936345,77.7207392197125,67.7618069815195,70.7392197125257
E01011476,Leeds 094D,288.919859335152,4.15625,4,44.1478439425051,75.3593429158111,44.2505133470226,54.5859000684463
E01011477,Leeds 045A,157.957450314792,5.10119047619048,12,74.3326488706366,82.3408624229979,93.3264887063655,83.3333333333333
E01011478,Leeds 056A,199.255383788318,6.8125,3,62.6283367556468,90.6570841889117,29.2607802874743,60.848733744011
E01011479,Leeds 056B,532.666383401679,0,0,16.4271047227926,1.3347022587269,1.3347022587269,6.36550308008214
E01011480,Leeds 045B,258.691182515152,5.078125,3,49.8973305954826,82.1355236139631,29.2607802874743,53.7645448323067
E01011481,Leeds 056C,343.559704862117,6.6875,12,36.1396303901437,90.1437371663244,93.3264887063655,73.2032854209446
E01011482,Leeds 056D,75.3509021256492,7.1328125,8,92.1971252566735,91.7864476386037,80.9034907597536,88.2956878850103
E01011483,Leeds 056E,79.2626571830477,6.0390625,12,91.3757700205339,87.6796714579056,93.3264887063655,90.7939767282683
E01011484,Leeds 033A,581.478641668678,2.75625,4,13.1416837782341,52.7720739219713,44.2505133470226,36.7214236824093
