id,opportunity,percentile,cutoff,accessibility
E01011430,jobs,50,30,32170
E01011430,jobs,50,45,175720
E01011430,jobs,50,60,306990
E01011431,jobs,50,30,17745
E01011431,jobs,50,45,86270
E01011431,jobs,50,60,257255
E01011432,jobs,50,30,33200
E01011432,jobs,50,45,214670
E01011432,jobs,50,60,321755
E01011433,jobs,50,30,72250
E01011433,jobs,50,45,248470
E01011433,jobs,50,60,351310
E01011434,jobs,50,30,78870
E01011434,jobs,50,45,256450
E01011434,jobs,50,60,356320
E01011435,jobs,50,30,64945
E01011435,jobs,50,45,236210
E01011435,jobs,50,60,337170
E01011440,jobs,50,30,117345
E01011440,jobs,50,45,263820
E01011440,jobs,50,60,371635
E01011441,jobs,50,30,65470
E01011441,jobs,50,45,230735
E01011441,jobs,50,60,340470
E01011442,jobs,50,30,114420
E01011442,jobs,50,45,267610
E01011442,jobs,50,60,372950
E01011443,jobs,50,30,106695
E01011443,jobs,50,45,276970
E01011443,jobs,50,60,368635
E01011444,jobs,50,30,105145
E01011444,jobs,50,45,247520
E01011444,jobs,50,60,362550
E01011445,jobs,50,30,103995
E01011445,jobs,50,45,253460
E01011445,jobs,50,60,352175
E01011446,jobs,50,30,106470
E01011446,jobs,50,45,248885
E01011446,jobs,50,60,347290
E01011447,jobs,50,30,107770
E01011447,jobs,50,45,259335
E01011447,jobs,50,60,377580
E01011448,jobs,50,30,114995
E01011448,jobs,50,45,258635
E01011448,jobs,50,60,353835
E01011449,jobs,50,30,105795
E01011449,jobs,50,45,250960
E01011449,jobs,50,60,357930
E01011450,jobs,50,30,11645
E01011450,jobs,50,45,140215
E01011450,jobs,50,60,312315
E01011451,jobs,50,30,67720
E01011451,jobs,50,45,230895
E01011451,jobs,50,60,346150
E01011452,jobs,50,30,4675
E01011452,jobs,50,45,23575
E01011452,jobs,50,60,172420
E01011453,jobs,50,30,2250
E01011453,jobs,50,45,16975
E01011453,jobs,50,60,183670
E01011454,jobs,50,30,6925
E01011454,jobs,50,45,25350
E01011454,jobs,50,60,184370
E01011455,jobs,50,30,4050
E01011455,jobs,50,45,20500
E01011455,jobs,50,60,48865
E01011456,jobs,50,30,3750
E01011456,jobs,50,45,12575
E01011456,jobs,50,60,80540
E01011457,jobs,50,30,2000
E01011457,jobs,50,45,2000
E01011457,jobs,50,60,9325
E01011458,jobs,50,30,6600
E01011458,jobs,50,45,26300
E01011458,jobs,50,60,186720
E01011459,jobs,50,30,8300
E01011459,jobs,50,45,31450
E01011459,jobs,50,60,154610
E01011460,jobs,50,30,7200
E01011460,jobs,50,45,18850
E01011460,jobs,50,60,143085
E01011461,jobs,50,30,4675
E01011461,jobs,50,45,23175
E01011461,jobs,50,60,173670
E01011462,jobs,50,30,5250
E01011462,jobs,50,45,19200
E01011462,jobs,50,60,184860
E01011463,jobs,50,30,5900
E01011463,jobs,50,45,17225
E01011463,jobs,50,60,155470
E01011464,jobs,50,30,7825
E01011464,jobs,50,45,58990
E01011464,jobs,50,60,206285
E01011465,jobs,50,30,8275
E01011465,jobs,50,45,26325
E01011465,jobs,50,60,189510
E01011466,jobs,50,30,4985
E01011466,jobs,50,45,69575
E01011466,jobs,50,60,266800
E01011467,jobs,50,30,111500
E01011467,jobs,50,45,271865
E01011467,jobs,50,60,391985
E01011468,jobs,50,30,53200
