LSOA21CD,LSOA21NM,dft_business_raw,dft_overall_raw,ptal_inspired_raw,cumulative_30min_raw,cumulative_45min_raw,cumulative_60min_raw,dft_business_percentile,ptal_inspired_percentile,cumulative_45min_percentile,dft_overall_percentile,cumulative_30min_percentile,cumulative_60min_percentile,gap_dft_minus_ptal,gap_dft_minus_cumulative,gap_ptal_minus_cumulative,three_method_range
E01011308,Leeds 103B,57.44,62.81,46.1327857631759,3350,17565,57890,8.2135523613963,44.558521560575,27.9260780287474,11.2936344969199,31.8275154004107,21.7659137577002,-36.3449691991786,-19.7125256673511,16.6324435318275,36.3449691991786
E01011309,Leeds 030C,48.24,43.96,44.8323066392882,350,350,8150,2.87474332648871,42.7104722792608,4.10677618069815,0.82135523613963,8.82956878850103,7.39219712525667,-39.8357289527721,-1.23203285420945,38.6036960985626,39.8357289527721
E01011310,Leeds 030D,47.45,42.28,17.4880219028063,200,950,16125,2.46406570841889,6.98151950718686,7.39219712525667,0.616016427104723,4.20944558521561,11.2936344969199,-4.51745379876797,-4.92813141683778,-0.410677618069816,4.92813141683778
E01011311,Leeds 022A,51.95,40.96,19.4729637234771,350,350,350,5.3388090349076,8.0082135523614,4.10677618069815,0,8.82956878850103,2.97741273100616,-2.6694045174538,1.23203285420945,3.90143737166325,3.90143737166325
E01011312,Leeds 086A,75.11,83.42,85.5578370978782,102490,270840,380035,92.1971252566735,95.2772073921971,92.1971252566735,95.8932238193019,90.3490759753593,93.2238193018481,-3.08008213552361,0,3.08008213552361,3.08008213552361
E01011313,Leeds 091A,72.95,78.91,50.3422313483915,19215,72115,284790,77.4127310061602,51.7453798767967,57.905544147844,77.0020533880904,72.6899383983573,65.7084188911704,25.6673511293634,19.5071868583162,-6.16016427104723,25.6673511293634
E01011314,Leeds 091B,73.27,79.63,50.6160164271047,10965,111490,301390,80.6981519507187,51.9507186858316,65.9137577002053,80.4928131416838,59.958932238193,71.4579055441479,28.7474332648871,14.7843942505133,-13.9630390143737,28.7474332648871
E01011315,Leeds 090A,72.79,78.23,37.6796714579056,12465,81715,289870,75.8726899383984,29.7741273100616,59.958932238193,74.9486652977413,63.2443531827515,67.7618069815195,46.0985626283368,15.9137577002053,-30.1848049281314,46.0985626283368
E01011316,Leeds 086B,74.53,82.01,82.9568788501027,53665,239090,365735,88.2956878850103,93.0184804928131,83.9835728952772,90.1437371663244,81.3141683778234,88.911704312115,-4.72279260780287,4.31211498973306,9.03490759753593,9.03490759753593
E01011317,Leeds 090B,72.96,73.67,76.1122518822724,62525,223790,364870,77.82340862423,86.652977412731,81.9301848049281,50.4106776180698,83.5728952772074,88.0903490759754,-8.82956878850102,-4.10677618069815,4.72279260780287,8.82956878850102
E01011318,Leeds 090C,73.58,71.24,73.1690622861054,18625,116515,311670,82.5462012320329,82.6488706365503,67.1457905544148,37.8850102669405,72.2792607802875,73.7166324435318,-0.102669404517457,15.4004106776181,15.5030800821355,15.5030800821355
E01011319,Leeds 091C,73.62,79.17,88.8432580424367,56540,244465,371980,82.9568788501027,97.9466119096509,84.394250513347,78.6447638603696,82.0328542094456,91.170431211499,-14.9897330595483,-1.43737166324435,13.5523613963039,14.9897330595483
E01011320,Leeds 091D,73.29,79.09,81.0746064339494,56540,208765,360320,80.9034907597536,91.170431211499,79.8767967145791,78.2340862422998,82.0328542094456,85.4209445585216,-10.2669404517454,1.02669404517454,11.2936344969199,11.2936344969199
